Targa,Scadenza,Data_pagamento,Primo_Avviso,Secondo_Avviso,Bollo,Mora,Interessi
"FE896TJ","10/31/62 00:00:00",,,,379.09,,
"FE896TJ","10/31/63 00:00:00",,,,379.09,,
"FE896TJ","10/31/64 00:00:00",,,,379.09,,
"FE896TJ","10/31/65 00:00:00",,,,379.09,,
"FM025PM","06/30/23 00:00:00","07/31/23 00:00:00",,,1,,
"FM025PM","06/30/24 00:00:00","07/31/24 00:00:00",,,1,,
"FM025PM","06/30/25 00:00:00","07/22/25 00:00:00",,,1,,
"FM025PM","06/30/26 00:00:00",,,,1,,
"FM025PM","06/30/27 00:00:00",,,,1,,
"FM025PM","06/30/28 00:00:00",,,,1,,
"FM025PM","06/30/29 00:00:00",,,,1,,
"FM025PM","06/30/30 00:00:00",,,,1,,
"FM025PM","06/30/31 00:00:00",,,,1,,
"FM025PM","06/30/32 00:00:00",,,,1,,
"FM025PM","06/30/33 00:00:00",,,,1,,
"FM025PM","06/30/34 00:00:00",,,,1,,
"FM025PM","06/30/35 00:00:00",,,,1,,
"FM025PM","06/30/36 00:00:00",,,,1,,
"FM025PM","06/30/37 00:00:00",,,,1,,
"FM025PM","06/30/38 00:00:00",,,,1,,
"FM025PM","06/30/39 00:00:00",,,,1,,
"FM025PM","06/30/40 00:00:00",,,,1,,
"FM025PM","06/30/41 00:00:00",,,,1,,
"FM025PM","06/30/42 00:00:00",,,,1,,
"FM025PM","06/30/43 00:00:00",,,,1,,
"FM025PM","06/30/44 00:00:00",,,,1,,
"FM025PM","06/30/45 00:00:00",,,,1,,
"FM025PM","06/30/46 00:00:00",,,,1,,
"FM025PM","06/30/47 00:00:00",,,,1,,
"FM025PM","06/30/48 00:00:00",,,,1,,
"FM025PM","06/30/49 00:00:00",,,,1,,
"FM025PM","06/30/50 00:00:00",,,,1,,
"FM025PM","06/30/51 00:00:00",,,,1,,
"FM025PM","06/30/52 00:00:00",,,,1,,
"FM025PM","06/30/53 00:00:00",,,,1,,
"FM025PM","06/30/54 00:00:00",,,,1,,
"FM025PM","06/30/55 00:00:00",,,,1,,
"FM025PM","06/30/56 00:00:00",,,,1,,
"FM025PM","06/30/57 00:00:00",,,,1,,
"FM025PM","06/30/58 00:00:00",,,,1,,
"FM025PM","06/30/59 00:00:00",,,,1,,
"FM025PM","06/30/60 00:00:00",,,,1,,
"FM025PM","06/30/61 00:00:00",,,,1,,
"FM025PM","06/30/62 00:00:00",,,,1,,
"FM025PM","06/30/63 00:00:00",,,,1,,
"FM025PM","06/30/64 00:00:00",,,,1,,
"FM025PM","06/30/65 00:00:00",,,,1,,
"FM025PM","06/30/66 00:00:00",,,,1,,
"FM025PM","06/30/67 00:00:00",,,,1,,
"FM025PM","06/30/68 00:00:00",,,,1,,
"FM025PM","06/30/69 00:00:00",,,,1,,
"GS060GJ","02/29/24 00:00:00","03/28/24 00:00:00",,,1,,
"GS060GJ","02/28/25 00:00:00","03/21/25 00:00:00",,,1,,
"GS060GJ","02/28/26 00:00:00",,,,1,,
"GS060GJ","02/28/27 00:00:00",,,,1,,
"GS060GJ","02/29/28 00:00:00",,,,1,,
"GS060GJ","02/28/29 00:00:00",,,,1,,
"GS060GJ","02/28/30 00:00:00",,,,1,,
"GS060GJ","02/28/31 00:00:00",,,,1,,
"GS060GJ","02/29/32 00:00:00",,,,1,,
"GJ951BR,","09/30/22 00:00:00","11/29/22 00:00:00",,,1,,
"GJ951BR,","01/31/23 00:00:00","02/28/23 00:00:00",,,1,,
"GJ951BR,","05/31/23 00:00:00","06/29/23 00:00:00",,,1,,
"GJ951BR,","09/30/23 00:00:00","10/24/23 00:00:00",,,1,,
"GJ951BR,","01/31/24 00:00:00","02/27/24 00:00:00",,,1,,
"GJ951BR,","05/31/24 00:00:00","06/28/24 00:00:00",,,1,,
"GJ951BR,","09/30/24 00:00:00","10/29/24 00:00:00",,,1,,
"GJ951BR,","01/31/25 00:00:00","02/26/25 00:00:00",,,1,,
"GJ951BR,","05/31/25 00:00:00","06/27/25 00:00:00",,,1,,
"GJ951BR,","09/30/25 00:00:00","10/29/25 00:00:00",,,1,,
"GJ951BR,","01/31/26 00:00:00",,,,1,,
"GJ951BR,","05/31/26 00:00:00",,,,1,,
"GJ951BR,","09/30/26 00:00:00",,,,1,,
"GS060GJ","02/28/33 00:00:00",,,,1,,
"GS060GJ","02/28/34 00:00:00",,,,1,,
"GS060GJ","02/28/35 00:00:00",,,,1,,
"GS060GJ","02/29/36 00:00:00",,,,1,,
"GS060GJ","02/28/37 00:00:00",,,,1,,
"GS060GJ","02/28/38 00:00:00",,,,1,,
"GS060GJ","02/28/39 00:00:00",,,,1,,
"GS060GJ","02/29/40 00:00:00",,,,1,,
"GS060GJ","02/28/41 00:00:00",,,,1,,
"GS060GJ","02/28/42 00:00:00",,,,1,,
"GS060GJ","02/28/43 00:00:00",,,,1,,
"GS060GJ","02/29/44 00:00:00",,,,1,,
"GS060GJ","02/28/45 00:00:00",,,,1,,
"GS060GJ","02/28/46 00:00:00",,,,1,,
"GS060GJ","02/28/47 00:00:00",,,,1,,
"GS060GJ","02/29/48 00:00:00",,,,1,,
"GS060GJ","02/28/49 00:00:00",,,,1,,
"GS060GJ","02/28/50 00:00:00",,,,1,,
"GS060GJ","02/28/51 00:00:00",,,,1,,
"GS060GJ","02/29/52 00:00:00",,,,1,,
"GS060GJ","02/28/53 00:00:00",,,,1,,
"GS060GJ","02/28/54 00:00:00",,,,1,,
"GS060GJ","02/28/55 00:00:00",,,,1,,
"GS060GJ","02/29/56 00:00:00",,,,1,,
"GS060GJ","02/28/57 00:00:00",,,,1,,
"GS060GJ","02/28/58 00:00:00",,,,1,,
"GS060GJ","02/28/59 00:00:00",,,,1,,
"GS060GJ","02/29/60 00:00:00",,,,1,,
"GS060GJ","02/28/61 00:00:00",,,,1,,
"GS060GJ","02/28/62 00:00:00",,,,1,,
"GS060GJ","02/28/63 00:00:00",,,,1,,
"GS060GJ","02/29/64 00:00:00",,,,1,,
"GS060GJ","02/28/65 00:00:00",,,,1,,
"GS060GJ","02/28/66 00:00:00",,,,1,,
"GS060GJ","02/28/67 00:00:00",,,,1,,
"GS060GJ","02/29/68 00:00:00",,,,1,,
"GS060GJ","02/28/69 00:00:00",,,,1,,
"GS060GJ","02/28/70 00:00:00",,,,1,,
"GS060GJ","02/28/71 00:00:00",,,,1,,
"FE896TJ","10/31/66 00:00:00",,,,379.09,,
"FE896TJ","10/31/67 00:00:00",,,,379.09,,
"FL850BL","06/30/17 00:00:00","08/30/17 00:00:00","08/01/17 00:00:00",,237.35,,
"FL850BL","10/31/17 00:00:00","11/27/17 00:00:00","11/06/17 00:00:00",,237.35,,
"FL850BL","02/28/18 00:00:00","03/28/18 00:00:00","03/05/18 00:00:00",,237.35,,
"FL850BL","06/30/18 00:00:00","07/27/18 00:00:00","07/04/18 00:00:00",,237.35,,
"FL850BL","10/31/18 00:00:00","11/30/18 00:00:00","11/06/18 00:00:00",,237.35,,
"FL850BL","02/28/19 00:00:00","03/29/19 00:00:00","03/05/19 00:00:00",,237.35,,
"FL850BL","06/30/19 00:00:00","07/30/19 00:00:00","07/01/19 00:00:00","07/01/19 00:00:00",237.35,,
"FL850BL","10/31/19 00:00:00","11/28/19 00:00:00","11/12/19 00:00:00",,237.35,,
"FL850BL","02/29/20 00:00:00","03/30/20 00:00:00",,,237.35,,
"FL850BL","06/30/20 00:00:00","07/30/20 00:00:00",,,237.35,,
"FL850BL","10/31/20 00:00:00","11/30/20 00:00:00",,,237.35,,
"FL850BL","02/28/21 00:00:00","03/31/21 00:00:00",,,237.35,,
"FL850BL","06/30/21 00:00:00","11/30/21 00:00:00","07/02/21 00:00:00",,237.35,,
"FL850BL","10/31/21 00:00:00","11/30/21 00:00:00",,,237.35,,
"FL850BL","02/28/22 00:00:00","03/30/22 00:00:00",,,237.35,,
"FL850BL","06/30/22 00:00:00","08/01/22 00:00:00",,,237.35,,
"FL850BL","10/31/22 00:00:00","11/29/22 00:00:00",,,237.35,,
"GJ951BR,","01/31/27 00:00:00",,,,1,,
"GJ951BR,","05/31/27 00:00:00",,,,1,,
"GJ951BR,","09/30/27 00:00:00",,,,1,,
"GJ951BR,","01/31/28 00:00:00",,,,1,,
"GJ951BR,","05/31/28 00:00:00",,,,1,,
"GJ951BR,","09/30/28 00:00:00",,,,1,,
"GJ951BR,","01/31/29 00:00:00",,,,1,,
"GJ951BR,","05/31/29 00:00:00",,,,1,,
"GJ951BR,","09/30/29 00:00:00",,,,1,,
"GJ951BR,","01/31/30 00:00:00",,,,1,,
"GJ951BR,","05/31/30 00:00:00",,,,1,,
"GJ951BR,","09/30/30 00:00:00",,,,1,,
"GJ951BR,","01/31/31 00:00:00",,,,1,,
"GJ951BR,","05/31/31 00:00:00",,,,1,,
"GJ951BR,","09/30/31 00:00:00",,,,1,,
"GJ951BR,","01/31/32 00:00:00",,,,1,,
"GJ951BR,","05/31/32 00:00:00",,,,1,,
"GJ951BR,","09/30/32 00:00:00",,,,1,,
"GJ951BR,","01/31/33 00:00:00",,,,1,,
"GJ951BR,","05/31/33 00:00:00",,,,1,,
"GJ951BR,","09/30/33 00:00:00",,,,1,,
"GJ951BR,","01/31/34 00:00:00",,,,1,,
"GJ951BR,","05/31/34 00:00:00",,,,1,,
"GJ951BR,","09/30/34 00:00:00",,,,1,,
"GJ951BR,","01/31/35 00:00:00",,,,1,,
"GJ951BR,","05/31/35 00:00:00",,,,1,,
"GJ951BR,","09/30/35 00:00:00",,,,1,,
"GJ951BR,","01/31/36 00:00:00",,,,1,,
"GJ951BR,","05/31/36 00:00:00",,,,1,,
"GJ951BR,","09/30/36 00:00:00",,,,1,,
"GJ951BR,","01/31/37 00:00:00",,,,1,,
"GJ951BR,","05/31/37 00:00:00",,,,1,,
"GJ951BR,","09/30/37 00:00:00",,,,1,,
"GJ951BR,","01/31/38 00:00:00",,,,1,,
"FL850BL","02/28/23 00:00:00","03/28/23 00:00:00",,,237.35,,
"FL850BL","06/30/23 00:00:00","07/28/23 00:00:00",,,237.35,,
"FL850BL","10/31/23 00:00:00","11/29/23 00:00:00",,,237.35,,
"FL850BL","02/29/24 00:00:00","03/28/24 00:00:00",,,237.35,,
"FL850BL","06/30/24 00:00:00","07/29/24 00:00:00",,,237.35,,
"FL850BL","10/31/24 00:00:00","11/28/24 00:00:00",,,237.35,,
"FL850BL","02/28/25 00:00:00","03/27/25 00:00:00",,,237.35,,
"FL850BL","06/30/25 00:00:00","07/28/25 00:00:00",,,237.35,,
"FL850BL","10/31/25 00:00:00","11/26/25 00:00:00",,,237.35,,
"FL850BL","02/28/26 00:00:00",,,,237.35,,
"FL850BL","06/30/26 00:00:00",,,,237.35,,
"FL850BL","10/31/26 00:00:00",,,,237.35,,
"FL850BL","02/28/27 00:00:00",,,,237.35,,
"FL850BL","06/30/27 00:00:00",,,,237.35,,
"FL850BL","10/31/27 00:00:00",,,,237.35,,
"FL850BL","02/29/28 00:00:00",,,,237.35,,
"FL850BL","06/30/28 00:00:00",,,,237.35,,
"FL850BL","10/31/28 00:00:00",,,,237.35,,
"FL850BL","02/28/29 00:00:00",,,,237.35,,
"FL850BL","06/30/29 00:00:00",,,,237.35,,
"FL850BL","10/31/29 00:00:00",,,,237.35,,
"GP566CH","04/30/24 00:00:00","06/21/24 00:00:00",,,1,,
"GP566CH","04/30/25 00:00:00","05/15/25 00:00:00",,,1,,
"GP566CH","04/30/26 00:00:00",,,,1,,
"GP566CH","04/30/27 00:00:00",,,,1,,
"GP566CH","04/30/28 00:00:00",,,,1,,
"GP566CH","04/30/29 00:00:00",,,,1,,
"GP566CH","04/30/30 00:00:00",,,,1,,
"GP566CH","04/30/31 00:00:00",,,,1,,
"GP566CH","04/30/32 00:00:00",,,,1,,
"GP566CH","04/30/33 00:00:00",,,,1,,
"GP566CH","04/30/34 00:00:00",,,,1,,
"GP566CH","04/30/35 00:00:00",,,,1,,
"GP566CH","04/30/36 00:00:00",,,,1,,
"GP566CH","04/30/37 00:00:00",,,,1,,
"GP566CH","04/30/38 00:00:00",,,,1,,
"GP566CH","04/30/39 00:00:00",,,,1,,
"GP566CH","04/30/40 00:00:00",,,,1,,
"GP566CH","04/30/41 00:00:00",,,,1,,
"GP566CH","04/30/42 00:00:00",,,,1,,
"GP566CH","04/30/43 00:00:00",,,,1,,
"GP566CH","04/30/44 00:00:00",,,,1,,
"GP566CH","04/30/45 00:00:00",,,,1,,
"GP566CH","04/30/46 00:00:00",,,,1,,
"GP566CH","04/30/47 00:00:00",,,,1,,
"GP566CH","04/30/48 00:00:00",,,,1,,
"GP566CH","04/30/49 00:00:00",,,,1,,
"GP566CH","04/30/50 00:00:00",,,,1,,
"GP566CH","04/30/51 00:00:00",,,,1,,
"GP566CH","04/30/52 00:00:00",,,,1,,
"GP566CH","04/30/53 00:00:00",,,,1,,
"EC905JE","05/31/16 00:00:00","07/26/16 00:00:00",,,329.62,,
"EC905JE","09/30/16 00:00:00","10/21/16 00:00:00",,,329.62,,
"EC905JE","01/31/17 00:00:00","02/21/17 00:00:00","02/01/17 00:00:00",,329.62,,
"EC905JE","05/31/17 00:00:00","06/14/17 00:00:00","06/06/17 00:00:00",,329.62,,
"EC905JE","09/30/17 00:00:00","10/23/17 00:00:00","10/03/17 00:00:00",,329.62,,
"EC905JE","01/31/18 00:00:00","02/23/18 00:00:00","02/05/18 00:00:00",,329.62,,
"EC905JE","05/31/18 00:00:00","06/26/18 00:00:00","06/11/18 00:00:00",,329.62,,
"EC905JE","09/30/18 00:00:00","10/24/18 00:00:00","10/02/18 00:00:00",,329.62,,
"EC905JE","01/31/19 00:00:00","02/26/19 00:00:00","02/01/19 00:00:00",,329.62,,
"EC905JE","05/31/19 00:00:00","06/25/19 00:00:00","06/10/19 00:00:00",,329.62,,
"EC905JE","09/30/19 00:00:00","10/29/19 00:00:00","10/02/19 00:00:00",,329.62,,
"EC905JE","01/31/20 00:00:00","02/27/20 00:00:00",,"02/18/20 00:00:00",329.62,,
"EC905JE","05/31/20 00:00:00","02/26/21 00:00:00","08/03/20 00:00:00",,329.62,,
"EC905JE","09/30/20 00:00:00","02/26/21 00:00:00",,,329.62,,
"EC905JE","01/31/21 00:00:00","02/26/21 00:00:00",,,329.62,,
"EC905JE","05/31/21 00:00:00","06/24/21 00:00:00",,,329.62,,
"EC905JE","09/30/21 00:00:00","10/25/21 00:00:00",,,329.62,,
"EC905JE","01/31/22 00:00:00","02/24/22 00:00:00",,,329.62,,
"EC905JE","05/31/22 00:00:00","06/17/22 00:00:00",,,329.62,,
"EC905JE","09/30/22 00:00:00","10/25/22 00:00:00",,,329.62,,
"EC905JE","01/31/23 00:00:00","02/28/23 00:00:00",,,329.62,,
"EC905JE","05/31/23 00:00:00","06/28/23 00:00:00",,,329.62,,
"EC905JE","09/30/23 00:00:00","10/24/23 00:00:00",,,329.62,,
"EC905JE","01/31/24 00:00:00","02/27/24 00:00:00",,,329.62,,
"EC905JE","05/31/24 00:00:00","06/21/24 00:00:00",,,329.62,,
"EC905JE","09/30/24 00:00:00","10/23/24 00:00:00",,,329.62,,
"EC905JE","01/31/25 00:00:00","02/26/25 00:00:00",,,329.62,,
"EC905JE","05/31/25 00:00:00","06/30/25 00:00:00",,,329.62,,
"EC905JE","09/30/25 00:00:00","10/21/25 00:00:00",,,329.62,,
"EC905JE","01/31/26 00:00:00",,,,329.62,,
"EC905JE","05/31/26 00:00:00",,,,329.62,,
"EC905JE","09/30/26 00:00:00",,,,329.62,,
"EC905JE","01/31/27 00:00:00",,,,329.62,,
"EC905JE","05/31/27 00:00:00",,,,329.62,,
"EC905JE","09/30/27 00:00:00",,,,329.62,,
"EC905JE","01/31/28 00:00:00",,,,329.62,,
"EC905JE","05/31/28 00:00:00",,,,329.62,,
"GP566CH","04/30/54 00:00:00",,,,1,,
"GP566CH","04/30/55 00:00:00",,,,1,,
"GP566CH","04/30/56 00:00:00",,,,1,,
"GP566CH","04/30/57 00:00:00",,,,1,,
"GP566CH","04/30/58 00:00:00",,,,1,,
"GP566CH","04/30/59 00:00:00",,,,1,,
"GP566CH","04/30/60 00:00:00",,,,1,,
"GP566CH","04/30/61 00:00:00",,,,1,,
"GP566CH","04/30/62 00:00:00",,,,1,,
"GP566CH","04/30/63 00:00:00",,,,1,,
"GP566CH","04/30/64 00:00:00",,,,1,,
"GP566CH","04/30/65 00:00:00",,,,1,,
"GP566CH","04/30/66 00:00:00",,,,1,,
"GP566CH","04/30/67 00:00:00",,,,1,,
"GP566CH","04/30/68 00:00:00",,,,1,,
"EC905JE","09/30/28 00:00:00",,,,329.62,,
"EC905JE","01/31/29 00:00:00",,,,329.62,,
"EC905JE","05/31/29 00:00:00",,,,329.62,,
"EC905JE","09/30/29 00:00:00",,,,329.62,,
"EC905JE","01/31/30 00:00:00",,,,329.62,,
"EC905JE","05/31/30 00:00:00",,,,329.62,,
"EC905JE","09/30/30 00:00:00",,,,329.62,,
"EC905JE","01/31/31 00:00:00",,,,329.62,,
"EC905JE","05/31/31 00:00:00",,,,329.62,,
"EC905JE","09/30/31 00:00:00",,,,329.62,,
"EC905JE","01/31/32 00:00:00",,,,329.62,,
"FJ035CF","06/30/19 00:00:00","07/30/19 00:00:00",,,200,,
"FJ035CF","10/31/19 00:00:00","11/28/19 00:00:00","11/12/19 00:00:00",,200,,
"FJ035CF","02/29/20 00:00:00","03/30/20 00:00:00",,,200,,
"FJ035CF","06/30/20 00:00:00","07/30/20 00:00:00",,,200,,
"FJ035CF","10/31/20 00:00:00","11/30/20 00:00:00",,,200,,
"FJ035CF","02/28/21 00:00:00","03/31/21 00:00:00",,,200,,
"FJ035CF","06/30/21 00:00:00","07/30/21 00:00:00","07/02/21 00:00:00",,200,,
"FJ035CF","10/31/21 00:00:00","11/30/21 00:00:00",,,200,,
"FJ035CF","02/28/22 00:00:00","03/30/22 00:00:00",,,200,,
"FJ035CF","06/30/22 00:00:00","08/01/22 00:00:00",,,200,,
"FJ035CF","10/31/22 00:00:00","11/29/22 00:00:00",,,200,,
"FJ035CF","02/28/23 00:00:00","03/28/23 00:00:00",,,200,,
"FJ035CF","06/30/23 00:00:00","07/28/23 00:00:00",,,200,,
"FJ035CF","10/31/23 00:00:00","11/29/23 00:00:00",,,200,,
"FJ035CF","02/29/24 00:00:00","03/28/24 00:00:00",,,200,,
"FJ035CF","06/30/24 00:00:00","07/29/24 00:00:00",,,200,,
"FJ035CF","10/31/24 00:00:00","11/28/24 00:00:00",,,200,,
"FJ035CF","02/28/25 00:00:00","03/27/25 00:00:00",,,200,,
"FJ035CF","06/30/25 00:00:00","07/28/25 00:00:00",,,200,,
"FJ035CF","10/31/25 00:00:00","11/26/25 00:00:00",,,200,,
"FJ035CF","02/28/26 00:00:00",,,,200,,
"FJ035CF","06/30/26 00:00:00",,,,200,,
"FJ035CF","10/31/26 00:00:00",,,,200,,
"FJ035CF","02/28/27 00:00:00",,,,200,,
"FJ035CF","06/30/27 00:00:00",,,,200,,
"FJ035CF","10/31/27 00:00:00",,,,200,,
"FJ035CF","02/29/28 00:00:00",,,,200,,
"FJ035CF","06/30/28 00:00:00",,,,200,,
"FJ035CF","10/31/28 00:00:00",,,,200,,
"FJ035CF","02/28/29 00:00:00",,,,200,,
"FJ035CF","06/30/29 00:00:00",,,,200,,
"FJ035CF","10/31/29 00:00:00",,,,200,,
"FJ035CF","02/28/30 00:00:00",,,,200,,
"FJ035CF","06/30/30 00:00:00",,,,200,,
"FJ035CF","10/31/30 00:00:00",,,,200,,
"FJ035CF","02/28/31 00:00:00",,,,200,,
"FJ035CF","06/30/31 00:00:00",,,,200,,
"FJ035CF","10/31/31 00:00:00",,,,200,,
"FJ035CF","02/29/32 00:00:00",,,,200,,
"FJ035CF","06/30/32 00:00:00",,,,200,,
"FJ035CF","10/31/32 00:00:00",,,,200,,
"FJ035CF","02/28/33 00:00:00",,,,200,,
"FJ035CF","06/30/33 00:00:00",,,,200,,
"FJ035CF","10/31/33 00:00:00",,,,200,,
"FJ035CF","02/28/34 00:00:00",,,,200,,
"FJ035CF","06/30/34 00:00:00",,,,200,,
"FJ035CF","10/31/34 00:00:00",,,,200,,
"FJ035CF","02/28/35 00:00:00",,,,200,,
"CN085CD","04/30/22 00:00:00","05/13/22 00:00:00",,,1,,
"CN085CD","08/31/22 00:00:00","09/30/22 00:00:00",,,1,,
"CN085CD","12/31/22 00:00:00","01/30/23 00:00:00",,,1,,
"CN085CD","04/30/23 00:00:00","05/24/23 00:00:00",,,1,,
"CN085CD","08/31/23 00:00:00","09/21/23 00:00:00",,,1,,
"CN085CD","12/31/23 00:00:00","01/31/24 00:00:00",,,1,,
"CN085CD","04/30/24 00:00:00","05/31/24 00:00:00",,,1,,
"CN085CD","08/31/24 00:00:00","09/17/24 00:00:00",,,1,,
"CN085CD","12/31/24 00:00:00","01/31/25 00:00:00",,,1,,
"CN085CD","04/30/25 00:00:00","06/03/25 00:00:00",,,1,,
"CN085CD","08/31/25 00:00:00","09/22/25 00:00:00",,,1,,
"CN085CD","12/31/25 00:00:00","01/16/26 00:00:00",,,1,,
"CN085CD","04/30/26 00:00:00",,,,1,,
"CN085CD","08/31/26 00:00:00",,,,1,,
"CN085CD","12/31/26 00:00:00",,,,1,,
"CN085CD","04/30/27 00:00:00",,,,1,,
"CN085CD","08/31/27 00:00:00",,,,1,,
"CN085CD","12/31/27 00:00:00",,,,1,,
"CN085CD","04/30/28 00:00:00",,,,1,,
"CN085CD","08/31/28 00:00:00",,,,1,,
"CN085CD","12/31/28 00:00:00",,,,1,,
"CN085CD","04/30/29 00:00:00",,,,1,,
"CN085CD","08/31/29 00:00:00",,,,1,,
"CN085CD","12/31/29 00:00:00",,,,1,,
"CN085CD","04/30/30 00:00:00",,,,1,,
"CN085CD","08/31/30 00:00:00",,,,1,,
"CN085CD","12/31/30 00:00:00",,,,1,,
"CN085CD","04/30/31 00:00:00",,,,1,,
"CN085CD","08/31/31 00:00:00",,,,1,,
"CN085CD","12/31/31 00:00:00",,,,1,,
"CN085CD","04/30/32 00:00:00",,,,1,,
"CN085CD","08/31/32 00:00:00",,,,1,,
"CN085CD","12/31/32 00:00:00",,,,1,,
"CN085CD","04/30/33 00:00:00",,,,1,,
"CN085CD","08/31/33 00:00:00",,,,1,,
"CN085CD","12/31/33 00:00:00",,,,1,,
"CN085CD","04/30/34 00:00:00",,,,1,,
"CN085CD","08/31/34 00:00:00",,,,1,,
"CN085CD","12/31/34 00:00:00",,,,1,,
"CN085CD","04/30/35 00:00:00",,,,1,,
"CN085CD","08/31/35 00:00:00",,,,1,,
"CN085CD","12/31/35 00:00:00",,,,1,,
"CN085CD","04/30/36 00:00:00",,,,1,,
"CN085CD","08/31/36 00:00:00",,,,1,,
"CN085CD","12/31/36 00:00:00",,,,1,,
"EY341DF","01/31/15 00:00:00","06/30/15 00:00:00","04/03/15 00:00:00",,67.87,,
"EY341DF","05/31/15 00:00:00","06/30/15 00:00:00","06/16/15 00:00:00",,67.87,,
"EY341DF","09/30/15 00:00:00","10/30/15 00:00:00","10/02/15 00:00:00",,67.87,,
"FM341PS","12/31/17 00:00:00","02/15/18 00:00:00",,,151.87,,
"FM341PS","12/31/18 00:00:00","01/14/19 00:00:00",,,151.87,,
"FM341PS","12/31/19 00:00:00","01/07/20 00:00:00",,,151.87,,
"FM341PS","12/31/20 00:00:00",,,,151.87,,
"FM341PS","12/31/21 00:00:00",,,,151.87,,
"FM341PS","12/31/22 00:00:00",,,,151.87,,
"FM341PS","12/31/23 00:00:00",,,,151.87,,
"FM341PS","12/31/24 00:00:00",,,,151.87,,
"FM341PS","12/31/25 00:00:00",,,,151.87,,
"FM341PS","12/31/26 00:00:00",,,,151.87,,
"FM341PS","12/31/27 00:00:00",,,,151.87,,
"FM341PS","12/31/28 00:00:00",,,,151.87,,
"FM341PS","12/31/29 00:00:00",,,,151.87,,
"FM341PS","12/31/30 00:00:00",,,,151.87,,
"FM341PS","12/31/31 00:00:00",,,,151.87,,
"FM341PS","12/31/32 00:00:00",,,,151.87,,
"FM341PS","12/31/33 00:00:00",,,,151.87,,
"FM341PS","12/31/34 00:00:00",,,,151.87,,
"FM341PS","12/31/35 00:00:00",,,,151.87,,
"FM341PS","12/31/36 00:00:00",,,,151.87,,
"FM341PS","12/31/37 00:00:00",,,,151.87,,
"FM341PS","12/31/38 00:00:00",,,,151.87,,
"FM341PS","12/31/39 00:00:00",,,,151.87,,
"FM341PS","12/31/40 00:00:00",,,,151.87,,
"FM341PS","12/31/41 00:00:00",,,,151.87,,
"FM341PS","12/31/42 00:00:00",,,,151.87,,
"FM341PS","12/31/43 00:00:00",,,,151.87,,
"FM341PS","12/31/44 00:00:00",,,,151.87,,
"FM341PS","12/31/45 00:00:00",,,,151.87,,
